"segment_id","driver_id","segment_type","order_id","segment_start_time","segment_end_time"
"83","3","STOP","328","2024-02-08 15:22:08","2024-02-08 15:26:21"
"84","3","DRIVE",NULL,"2024-02-08 15:15:11","2024-02-08 15:15:11"
"85","3","STOP",NULL,"2024-02-08 15:05:44","2024-02-08 15:18:42"
"86","4","STOP","66","2024-02-28 21:22:51","2024-02-28 21:27:47"
"87","4","DRIVE",NULL,"2024-02-28 21:15:14","2024-02-28 21:19:51"
"88","2","STOP","1591","2024-02-24 02:08:01","2024-02-24 02:11:02"
"89","2","DRIVE",NULL,"2024-02-24 01:57:26","2024-02-24 02:05:01"
"90","2","STOP",NULL,"2024-02-24 01:47:36","2024-02-24 02:01:28"
"91","4","STOP","235","2024-02-25 09:59:30","2024-02-25 10:05:42"
"92","4","DRIVE",NULL,"2024-02-25 09:54:25","2024-02-25 09:54:25"
"93","2","STOP","846","2024-02-18 16:41:48","2024-02-18 16:44:13"
"94","2","DRIVE",NULL,"2024-02-18 16:33:17","2024-02-18 16:38:48"
"95","4","STOP","2083","2024-02-23 20:17:50","2024-02-23 20:21:00"
"96","4","DRIVE",NULL,"2024-02-23 20:04:09","2024-02-23 20:14:50"
"97","1","STOP","1006","2024-02-24 14:25:19","2024-02-24 14:26:21"
"98","1","DRIVE",NULL,"2024-02-24 14:18:54","2024-02-24 14:18:54"
"99","2","STOP","944","2024-02-27 09:49:31","2024-02-27 09:51:11"
"100","2","DRIVE",NULL,"2024-02-27 09:36:23","2024-02-27 09:46:31"
"101","3","STOP","186","2024-02-02 19:22:39","2024-02-02 19:25:44"
"102","3","DRIVE",NULL,"2024-02-02 19:13:37","2024-02-02 19:19:39"
"103","1","STOP","1531","2024-02-05 02:06:18","2024-02-05 02:08:15"
"104","1","DRIVE",NULL,"2024-02-05 01:57:23","2024-02-05 02:03:18"
"105","3","STOP","1822","2024-02-03 02:32:30","2024-02-03 02:34:44"
"106","3","DRIVE",NULL,"2024-02-03 02:21:58","2024-02-03 02:29:30"
"107","3","STOP","1822","2024-02-03 02:32:30","2024-02-03 02:34:44"
"108","2","STOP","1007","2024-02-09 03:58:14","2024-02-09 04:00:12"
"109","2","DRIVE",NULL,"2024-02-09 03:52:52","2024-02-09 03:55:14"
"110","3","STOP","1669","2024-02-11 15:31:56","2024-02-11 15:35:13"
"111","3","DRIVE",NULL,"2024-02-11 15:20:10","2024-02-11 15:28:56"
"112","3","STOP",NULL,"2024-02-11 15:14:41","2024-02-11 15:23:58"
"113","3","STOP","2188","2024-02-10 04:35:49","2024-02-10 04:39:27"
"114","3","DRIVE",NULL,"2024-02-10 04:21:06","2024-02-10 04:32:49"
"115","3","STOP",NULL,"2024-02-10 04:13:09","2024-02-10 04:24:00"
"116","1","STOP","627","2024-02-01 09:25:06","2024-02-01 09:26:21"
"117","1","DRIVE",NULL,"2024-02-01 09:20:05","2024-02-01 09:22:06"
"118","3","STOP","629","2024-02-16 21:21:53","2024-02-16 21:21:53"
"119","3","DRIVE",NULL,"2024-02-16 21:07:04","2024-02-16 21:18:53"
"120","3","STOP","1624","2024-02-08 02:17:53","2024-02-08 02:17:53"
"121","3","DRIVE",NULL,"2024-02-08 02:11:56","2024-02-08 02:14:53"
"122","3","STOP",NULL,"2024-02-08 02:04:05","2024-02-08 02:16:35"
"123","2","STOP","1284","2024-02-23 18:52:41","2024-02-23 18:56:18"
"124","2","DRIVE",NULL,"2024-02-23 18:45:34","2024-02-23 18:49:41"
"125","2","STOP",NULL,"2024-02-23 18:40:11","2024-02-23 18:50:11"
"126","2","STOP","239","2024-02-17 15:12:56","2024-02-17 15:15:05"
"127","2","DRIVE",NULL,"2024-02-17 15:04:35","2024-02-17 15:09:56"
"128","1","STOP","2062","2024-02-12 20:51:59","2024-02-12 20:52:39"
"129","1","DRIVE",NULL,"2024-02-12 20:40:07","2024-02-13 00:48:59"
"130","1","STOP","1341","2024-02-27 02:22:05","2024-02-27 02:21:00"
"131","1","DRIVE",NULL,"2024-02-27 02:09:27","2024-02-27 02:18:00"
"132","2","STOP","1686","2024-02-03 02:12:15","2024-02-03 02:17:55"
"133","2","DRIVE",NULL,"2024-02-03 02:09:15","2024-02-03 02:01:22"
"134","4","STOP","969","2024-02-06 08:58:44","2024-02-06 09:04:58"
"135","4","DRIVE",NULL,"2024-02-06 08:53:22","2024-02-06 08:55:44"
"136","3","STOP","610","2024-02-05 07:59:38","2024-02-05 07:56:11"
"137","3","DRIVE",NULL,"2024-02-05 07:48:53","2024-02-05 07:53:11"
"138","3","STOP","588","2024-02-10 05:10:12","2024-02-10 05:12:43"
"139","3","DRIVE",NULL,"2024-02-10 04:56:35","2024-02-10 05:07:12"
"140","3","STOP",NULL,"2024-02-10 04:50:22","2024-02-10 04:58:51"
"141","4","STOP","121","2024-02-07 05:45:56","2024-02-07 05:52:25"
"142","4","DRIVE",NULL,"2024-02-07 05:34:38","2024-02-07 05:42:56"
"143","4","STOP",NULL,"2024-02-07 05:25:34","2024-02-07 05:36:38"
"144","4","STOP","1429","2024-02-17 21:08:43","2024-02-17 21:11:06"
"145","4","DRIVE",NULL,"2024-02-17 20:58:27","2024-02-17 20:58:27"
"146","4","STOP","1259","2024-02-28 17:11:42","2024-02-28 17:20:18"
"147","4","DRIVE",NULL,"2024-02-28 17:06:21","2024-02-28 17:08:42"
"148","4","STOP","1173","2024-02-07 06:38:18","2024-02-07 06:45:20"
"149","4","DRIVE",NULL,"2024-02-07 06:31:32","2024-02-07 06:35:18"
"150","4","STOP","1476","2024-02-11 08:13:14","2024-02-11 08:18:12"
"151","4","DRIVE",NULL,"2024-02-11 08:03:17","2024-02-11 08:10:14"
"152","3","STOP","1906","2024-02-18 08:54:48","2024-02-18 09:00:48"
"153","3","DRIVE",NULL,"2024-02-18 08:43:06","2024-02-18 08:51:48"
"154","4","STOP","44","2024-02-19 08:20:38","2024-02-19 08:24:26"
"155","4","DRIVE",NULL,"2024-02-19 08:14:04","2024-02-19 08:17:38"
"156","1","STOP","2008","2024-02-14 14:39:59","2024-02-14 14:41:13"
"157","1","DRIVE",NULL,"2024-02-14 14:34:17","2024-02-14 14:36:59"
"158","2","STOP","1769","2024-02-17 16:39:27","2024-02-17 16:41:15"
"159","2","DRIVE",NULL,"2024-02-17 16:34:18","2024-02-17 16:36:27"
"160","1","STOP","1230","2024-02-23 09:19:09","2024-02-23 09:20:55"
"161","1","DRIVE",NULL,"2024-02-23 09:09:17","2024-02-23 09:09:17"
"162","3","STOP","1989","2024-02-23 04:42:36","2024-02-23 04:45:41"
"163","3","DRIVE",NULL,"2024-02-23 04:27:53","2024-02-23 04:39:36"
"164","3","STOP",NULL,"2024-02-23 04:22:19","2024-02-23 04:31:34"
"165","2","STOP","948","2024-02-01 18:13:12","2024-02-01 18:16:40"
"166","2","DRIVE",NULL,"2024-02-01 18:07:10","2024-02-01 18:10:12"
"167","4","STOP","2035","2024-02-08 05:24:17","2024-02-08 05:29:26"
"168","4","DRIVE",NULL,"2024-02-08 05:17:51","2024-02-08 05:21:17"
"169","4","STOP",NULL,"2024-02-08 05:04:23","2024-02-08 05:20:32"
"170","2","STOP","469","2024-02-12 08:19:11","2024-02-12 08:20:41"
"171","2","DRIVE",NULL,"2024-02-12 08:12:42","2024-02-12 08:16:11"
"172","3","STOP","546","2024-02-02 05:17:53","2024-02-02 05:20:16"
"173","3","DRIVE",NULL,"2024-02-02 05:03:53","2024-02-02 05:14:53"
"174","1","STOP","1620","2024-02-08 08:48:12","2024-02-08 08:49:18"
"175","1","DRIVE",NULL,"2024-02-08 08:36:53","2024-02-08 08:45:12"
"176","4","STOP","273","2024-02-06 14:14:35","2024-02-06 14:18:06"
"177","4","DRIVE",NULL,"2024-02-06 14:02:53","2024-02-06 14:11:35"
"178","1","STOP","1660","2024-02-20 07:13:40","2024-02-20 07:14:53"
"179","1","DRIVE",NULL,"2024-02-20 07:02:45","2024-02-20 07:10:40"
"180","4","STOP","966","2024-02-17 09:00:19","2024-02-17 09:03:51"
"181","4","DRIVE",NULL,"2024-02-17 08:50:17","2024-02-17 08:57:19"
"182","3","STOP","771","2024-02-05 07:26:14","2024-02-05 07:30:46"
"183","3","DRIVE",NULL,"2024-02-05 07:20:02","2024-02-05 07:23:14"
"184","3","STOP",NULL,"2024-02-05 07:12:37","2024-02-05 07:23:45"
"185","1","STOP","1159","2024-02-13 15:14:38","2024-02-13 15:16:35"
"186","1","DRIVE",NULL,"2024-02-13 15:06:17","2024-02-13 15:11:38"
"187","1","STOP","1277","2024-02-19 20:53:46","2024-02-19 20:55:42"
"188","1","DRIVE",NULL,"2024-02-19 20:41:06","2024-02-19 20:50:46"
"189","4","STOP","967","2024-02-06 07:54:03","2024-02-06 07:59:08"
"190","4","DRIVE",NULL,"2024-02-06 07:48:19","2024-02-06 07:51:03"
"191","3","STOP","916","2024-02-15 18:42:50","2024-02-15 18:45:12"
"192","3","DRIVE",NULL,"2024-02-15 18:37:29","2024-02-15 18:39:50"
"193","1","STOP","1585","2024-02-07 21:39:09","2024-02-07 21:40:23"
"194","1","DRIVE",NULL,"2024-02-07 21:27:41","2024-02-07 21:36:09"
"195","1","STOP",NULL,"2024-02-07 21:14:10","2024-02-07 21:30:11"
"196","4","STOP","2169","2024-02-28 08:22:15","2024-02-28 08:24:32"
"197","4","DRIVE",NULL,"2024-02-28 08:11:45","2024-02-28 08:19:15"
"198","3","STOP","1841","2024-02-27 15:13:44","2024-02-27 15:17:21"
"199","3","DRIVE",NULL,"2024-02-27 15:08:32","2024-02-27 15:10:44"
"200","1","STOP","709","2024-02-06 15:24:47","2024-02-06 15:25:52"
"201","1","DRIVE",NULL,"2024-02-06 15:09:57","2024-02-06 15:21:47"
"202","1","STOP","1958","2024-02-04 02:52:07","2024-02-04 02:52:45"
"203","1","DRIVE",NULL,"2024-02-04 02:46:50","2024-02-04 02:46:50"
"204","1","STOP","170","2024-02-25 14:43:45","2024-02-25 14:45:14"
"205","1","DRIVE",NULL,"2024-02-25 14:38:12","2024-02-25 14:40:45"
"206","3","STOP","1515","2024-02-25 05:07:56","2024-02-25 05:07:56"
"207","3","DRIVE",NULL,"2024-02-25 04:56:33","2024-02-25 05:04:56"
"208","3","STOP","1073","2024-02-09 02:21:19","2024-02-09 02:24:52"
"209","3","DRIVE",NULL,"2024-02-09 02:11:33","2024-02-09 02:18:19"
"210","1","STOP","1928","2024-02-21 08:45:35","2024-02-21 08:45:35"
"211","1","DRIVE",NULL,"2024-02-21 08:39:46","2024-02-21 08:42:35"
"212","2","STOP","2036","2024-02-14 02:58:33","2024-02-14 02:59:35"
"213","2","DRIVE",NULL,"2024-02-14 02:44:03","2024-02-14 02:55:33"
"214","2","STOP",NULL,"2024-02-14 02:33:23","2024-02-14 02:48:45"
"215","3","STOP","272","2024-02-13 03:00:19","2024-02-13 03:04:47"
"216","3","DRIVE",NULL,"2024-02-13 02:53:06","2024-02-13 02:57:19"
"217","4","STOP","1347","2024-02-05 18:23:19","2024-02-05 18:27:57"
"218","4","DRIVE",NULL,"2024-02-05 18:13:07","2024-02-05 18:20:19"
"219","4","STOP","1932","2024-02-06 17:52:30","2024-02-06 17:57:34"
"220","4","DRIVE",NULL,"2024-02-06 17:44:07","2024-02-06 17:49:30"
"221","1","STOP","1718","2024-02-15 03:32:18","2024-02-15 03:33:36"
"222","1","DRIVE",NULL,"2024-02-15 03:17:54","2024-02-15 03:29:18"
"223","1","STOP",NULL,"2024-02-15 03:05:16","2024-02-15 03:21:31"
"224","2","STOP","982","2024-02-09 05:36:22","2024-02-09 05:39:04"
"225","2","DRIVE",NULL,"2024-02-09 05:22:58","2024-02-09 05:33:22"
"226","4","STOP","255","2024-02-01 02:23:48","2024-02-01 02:27:19"
"227","4","DRIVE",NULL,"2024-02-01 02:15:25","2024-02-01 02:20:48"
"228","2","STOP","45","2024-02-22 15:02:35","2024-02-22 15:03:52"
"229","2","DRIVE",NULL,"2024-02-22 14:51:41","2024-02-22 14:59:35"
"230","1","STOP","685","2024-02-08 16:37:18","2024-02-08 16:38:24"
"231","1","DRIVE",NULL,"2024-02-08 16:31:12","2024-02-08 16:34:18"
"232","2","STOP","2032","2024-02-02 09:14:17","2024-02-02 09:17:07"
"233","2","DRIVE",NULL,"2024-02-02 09:08:33","2024-02-02 09:11:17"
"234","3","STOP","2071","2024-02-12 08:25:23","2024-02-12 08:30:14"
"235","3","DRIVE",NULL,"2024-02-12 08:13:15","2024-02-12 08:22:23"
"236","3","STOP",NULL,"2024-02-12 08:04:08","2024-02-12 08:16:12"
"237","1","STOP","1595","2024-02-02 17:51:36","2024-02-02 17:53:34"
"238","1","DRIVE",NULL,"2024-02-02 17:38:13","2024-02-02 17:48:36"
"239","2","STOP","1656","2024-02-03 18:59:26","2024-02-03 19:01:36"
"240","2","DRIVE",NULL,"2024-02-03 18:44:39","2024-02-03 18:56:26"
"241","4","STOP","1681","2024-02-18 08:01:21","2024-02-18 08:06:44"
"242","4","DRIVE",NULL,"2024-02-18 07:47:03","2024-02-18 07:58:21"
"243","2","STOP","1627","2024-02-17 06:57:31","2024-02-17 06:59:07"
"244","2","DRIVE",NULL,"2024-02-17 06:50:26","2024-02-17 06:54:31"
"245","1","STOP","212","2024-02-02 07:11:27","2024-02-02 07:11:27"
"246","1","DRIVE",NULL,"2024-02-02 07:02:55","2024-02-02 07:08:27"
"247","1","STOP",NULL,"2024-02-02 06:51:12","2024-02-02 07:05:25"
"248","4","STOP","626","2024-02-05 20:12:04","2024-02-05 20:14:35"
"249","4","DRIVE",NULL,"2024-02-05 19:58:08","2024-02-05 20:09:04"
"250","3","STOP","961","2024-02-25 08:35:13","2024-02-25 08:38:59"
"251","3","DRIVE",NULL,"2024-02-25 08:22:25","2024-02-25 08:32:13"
"252","2","STOP","979","2024-02-08 17:53:55","2024-02-08 17:58:31"
"253","2","DRIVE",NULL,"2024-02-08 17:43:36","2024-02-08 17:50:55"
"254","3","STOP","245","2024-02-10 21:54:50","2024-02-10 21:57:59"
"255","3","DRIVE",NULL,"2024-02-10 21:48:24","2024-02-10 21:51:50"
"256","4","STOP","885","2024-02-26 06:22:43","2024-02-26 06:25:13"
"257","4","DRIVE",NULL,"2024-02-26 06:14:11","2024-02-26 06:19:43"
"258","2","STOP","563","2024-02-09 09:15:33","2024-02-09 09:18:01"
"259","2","DRIVE",NULL,"2024-02-09 09:01:57","2024-02-09 09:12:33"
"260","4","STOP","1771","2024-02-25 14:58:46","2024-02-25 15:05:33"
"261","4","DRIVE",NULL,"2024-02-25 14:47:54","2024-02-25 14:55:46"
"262","1","STOP","1571","2024-02-17 04:58:23","2024-02-17 05:00:28"
"263","1","DRIVE",NULL,"2024-02-17 04:46:00","2024-02-17 04:55:23"
"264","4","STOP","2002","2024-02-17 03:53:02","2024-02-17 03:53:02"
"265","4","DRIVE",NULL,"2024-02-17 03:43:20","2024-02-17 07:50:02"
"266","1","STOP","1890","2024-02-15 15:51:24","2024-02-15 15:52:22"
"267","1","DRIVE",NULL,"2024-02-15 15:38:20","2024-02-15 15:48:24"
"268","4","STOP","1124","2024-02-06 18:18:09","2024-02-06 18:22:19"
"269","4","DRIVE",NULL,"2024-02-06 18:11:50","2024-02-06 18:15:09"
"270","2","STOP","2122","2024-02-27 14:35:15","2024-02-27 14:36:54"
"271","2","DRIVE",NULL,"2024-02-27 14:23:22","2024-02-27 14:32:15"
"272","2","STOP",NULL,"2024-02-27 14:09:55","2024-02-27 14:28:05"
"273","3","STOP","773","2024-02-17 07:25:51","2024-02-17 07:28:49"
"274","3","DRIVE",NULL,"2024-02-17 07:17:16","2024-02-17 07:22:51"
"275","3","STOP","813","2024-02-03 21:51:03","2024-02-03 21:53:34"
"276","3","DRIVE",NULL,"2024-02-03 21:45:23","2024-02-03 21:48:03"
"277","2","STOP","754","2024-02-27 20:46:18","2024-02-27 20:48:28"
"278","2","DRIVE",NULL,"2024-02-27 20:32:24","2024-02-27 20:43:18"
"279","2","STOP",NULL,"2024-02-27 20:24:42","2024-02-27 20:37:20"
"280","4","STOP","1684","2024-02-01 16:54:48","2024-02-01 16:59:21"
"281","4","DRIVE",NULL,"2024-02-01 16:43:41","2024-02-01 16:51:48"
"282","1","STOP","2229","2024-02-07 05:54:41","2024-02-07 05:55:55"
"283","1","DRIVE",NULL,"2024-02-07 05:40:19","2024-02-07 05:51:41"
"284","3","STOP","1245","2024-02-09 21:43:08","2024-02-09 21:45:57"
"285","3","DRIVE",NULL,"2024-02-09 21:32:25","2024-02-09 21:40:08"
"286","2","STOP","2021","2024-02-13 06:18:43","2024-02-13 06:18:43"
"287","2","DRIVE",NULL,"2024-02-13 06:12:25","2024-02-13 06:15:43"
"288","2","STOP","1935","2024-02-11 19:30:20","2024-02-11 19:32:27"
"289","2","DRIVE",NULL,"2024-02-11 19:18:35","2024-02-11 19:27:20"
"290","1","STOP","493","2024-02-23 09:54:44","2024-02-23 09:55:39"
"291","1","DRIVE",NULL,"2024-02-23 09:49:15","2024-02-23 09:51:44"
"292","1","STOP",NULL,"2024-02-23 09:35:13","2024-02-23 09:54:14"
"293","1","STOP","869","2024-02-18 20:13:31","2024-02-18 20:14:14"
"294","1","DRIVE",NULL,"2024-02-18 19:59:07","2024-02-18 20:10:31"
"295","1","STOP","163","2024-02-03 09:25:40","2024-02-03 09:27:16"
"296","1","DRIVE",NULL,"2024-02-03 09:15:19","2024-02-03 09:22:40"
"297","4","STOP","1545","2024-02-27 17:17:33","2024-02-27 17:22:08"
"298","4","DRIVE",NULL,"2024-02-27 17:10:26","2024-02-27 17:14:33"
"299","3","STOP","1087","2024-02-21 19:36:02","2024-02-21 19:41:10"
"300","3","DRIVE",NULL,"2024-02-21 19:24:58","2024-02-21 19:33:02"
"301","3","STOP","240","2024-02-18 14:55:04","2024-02-18 14:59:19"
"302","3","DRIVE",NULL,"2024-02-18 14:42:28","2024-02-18 14:42:28"
"303","1","STOP","815","2024-02-22 17:46:59","2024-02-22 17:48:09"
"304","1","DRIVE",NULL,"2024-02-22 17:41:21","2024-02-22 17:43:59"
"305","3","STOP","1752","2024-02-21 21:54:38","2024-02-21 21:56:54"
"306","3","DRIVE",NULL,"2024-02-21 21:42:10","2024-02-21 21:51:38"
"307","3","STOP",NULL,"2024-02-21 21:35:20","2024-02-21 21:44:43"
"308","3","STOP","1794","2024-02-21 08:48:23","2024-02-21 08:51:41"
"309","3","DRIVE",NULL,"2024-02-21 08:42:44","2024-02-21 08:45:23"
"310","2","STOP","383","2024-02-08 03:21:48","2024-02-08 03:25:44"
"311","2","DRIVE",NULL,"2024-02-08 03:08:55","2024-02-08 03:18:48"
"312","1","STOP","1301","2024-02-26 18:57:23","2024-02-26 18:58:31"
"313","1","DRIVE",NULL,"2024-02-26 18:44:30","2024-02-26 18:54:23"
"314","3","STOP","1557","2024-02-03 05:03:10","2024-02-03 05:10:22"
"315","3","DRIVE",NULL,"2024-02-03 04:54:27","2024-02-03 05:00:10"
"316","2","STOP","1633","2024-02-20 07:10:07","2024-02-20 07:13:12"
"317","2","DRIVE",NULL,"2024-02-20 06:58:36","2024-02-20 07:07:07"
"318","2","STOP","839","2024-02-12 07:42:45","2024-02-12 07:46:26"
"319","2","DRIVE",NULL,"2024-02-12 07:31:11","2024-02-12 07:39:45"
"320","2","STOP","1009","2024-02-04 08:30:10","2024-02-04 08:31:27"
"321","2","DRIVE",NULL,"2024-02-04 08:20:53","2024-02-04 08:27:10"
"322","2","STOP",NULL,"2024-02-04 08:06:44","2024-02-04 08:24:39"
"323","4","STOP","1306","2024-02-01 17:18:15","2024-02-01 17:21:42"
"324","4","DRIVE",NULL,"2024-02-01 17:05:18","2024-02-01 17:05:18"
"325","4","STOP",NULL,"2024-02-01 16:53:25","2024-02-01 17:09:46"
"326","3","STOP","690","2024-02-14 14:11:30","2024-02-14 14:15:10"
"327","3","DRIVE",NULL,"2024-02-14 14:06:25","2024-02-14 14:08:30"
"328","4","STOP","991","2024-02-10 18:37:16","2024-02-10 18:41:47"
"329","4","DRIVE",NULL,"2024-02-10 18:29:21","2024-02-10 18:34:16"
"330","2","STOP","260","2024-02-28 21:11:41","2024-02-28 21:14:03"
"331","2","DRIVE",NULL,"2024-02-28 21:01:35","2024-02-28 21:08:41"
"332","2","STOP","10","2024-02-28 17:28:08","2024-02-28 17:30:41"
"333","2","DRIVE",NULL,"2024-02-28 17:19:30","2024-02-28 17:25:08"
"334","2","STOP",NULL,"2024-02-28 17:11:37","2024-02-28 17:22:40"
"335","2","STOP","132","2024-02-10 05:56:23","2024-02-10 05:58:06"
"336","2","DRIVE",NULL,"2024-02-10 05:48:43","2024-02-10 05:53:23"
"337","2","STOP",NULL,"2024-02-10 05:34:21","2024-02-10 05:53:23"
"338","4","STOP","1707","2024-02-06 03:48:50","2024-02-06 03:53:54"
"339","4","DRIVE",NULL,"2024-02-06 03:42:16","2024-02-06 03:45:50"
"340","4","STOP","858","2024-02-15 17:38:20","2024-02-15 17:41:10"
